site,date,sheet,time,transect,station,species,sex,repro,mass,length,tag,nc_rc
beach,2023-05-30,1,,c,18,pele,f,p,16,125,362,nc
beach,2023-05-31,1,08:46,c,18,pele,f,nr,17,121,362,rc
beach,2023-06-01,1,,c,18,pele,f,nr,16,120,362,rc
beach,2023-06-02,1,,c,18,pele,f,nr,16,125,362,rc
beach,2023-06-02,1,,c,18,pele,f,nr,16,120,362,rc
beach,2023-05-30,1,,c,5,pele,f,p,16,130,393,nc
beach,2023-06-02,1,,c,9,pele,f,nr,9,113,393,rc
beach,2023-05-31,1,08:33,c,11,pele,f,nr,15,136,393,rc
beach,2023-05-30,1,,d,10,pele,m,nr,16.5,134,396,
beach,2023-05-31,1,09:09,d,10,pele,m,nr,15,130,396,
beach,2023-06-01,1,,d,12,pele,m,nr,17,135,396,rc
beach,2023-06-02,1,,d,12,pele,m,nr,17,135,396,
beach,2023-05-30,1,,d,16,pele,f,nr,21.5,154,578,nc
beach,2023-06-01,1,,d,10,pele,f,p,23.5,160,582,
beach,2023-06-02,1,,d,10,pele,f,p,23.5,160,582,
beach,2023-05-31,1,09:12,d,13,pele,m,nr,16,135,584,nc
beach,2023-05-31,1,08:35,c,14,pele,m,nr,17,142,587,rc
beach,2023-05-30,1,,c,17,pele,m,nr,17,136,587,nc
beach,2023-05-30,1,,c,9,pele,m,nr,21,155,588,nc
beach,2023-06-01,1,,a,9,pele,m,nr,16.5,142,589,rc
beach,2023-06-02,1,,a,9,pele,m,nr,16.5,142,589,rc
beach,2023-05-31,1,07:57,a,12,pele,m,nr,18,142,589,nc
beach,2023-06-02,1,,a,17,pele,m,nr,,,589,rc
beach,2023-05-31,1,08:47,c,20,pele,f,nr,20,145,596,nc
beach,2023-06-01,1,,a,17,pele,f,p,17.5,138,598,nc
beach,2023-06-02,1,,a,17,pele,f,pl,17.5,138,598,rc
beach,2023-05-31,1,09:09,d,10,pele,f,p,25,150,682,
beach,2023-06-02,1,,c,13,unkn,NA,NA,NA,NA,9901,
beach,2023-05-31,1,08:01,b,12,blca,f,nr,17,100,no tag,
cb,2023-06-15,1,,d,16,pego,m,nr,26.5,177,166,nc
cb,2023-06-16,1,,d,16,pego,m,nr,29,164,166,rc
cb,2023-06-13,1,,c,8,pego,m,nr,19,145,167,nc
cb,2023-06-14,2,,c,8,pego,,,,,167,rc
cb,2023-06-15,1,,c,15,sihi,m,s,85.5,233,170,nc
cb,2023-06-14,1,,a,15,pego,m,nr,28,175,306,nc
cb,2023-06-16,1,,b,7,pego,m,nr,29.5,,306,rc
cb,2023-06-14,2,,c,9,pego,f,p,27,168,577,nc
clark,2023-06-10,1,,a,6,pele,m,nr,18.5,150,157,nc
clark,2023-06-08,1,,b,11,pele,f,nr,23,152,172,rc
clark,2023-06-10,2,,b,13,pele,f,p,23,163,172,rc
clark,2023-06-07,1,,b,20,pele,f,nr,20.5,165,172,nc
clark,2023-06-09,2,,b,20,pele,f,p,21.5,152,172,rc
clark,2023-06-07,1,,b,17,pele,f,nr,19,155,173,nc
clark,2023-06-10,2,,b,17,pele,f,p,20,160,173,rc
clark,2023-06-09,1,,b,3,pele,u,nr,20,140,174,rc
clark,2023-06-08,1,,b,4,pele,f,nr,20.5,139,174,rc
clark,2023-06-10,1,,b,4,pele,,,19.5,,174,rc
