"site","human","cells"
"field",0.915753132680494,55
"nance",0.857334008394252,144
"mars",0.64949236844034,84
"rags",0.538660319359474,76
"main",0.48728399984507,94
"beach",0.33462957053988,82
"pass",0.403504479271888,119
"gate",0.253855461533076,88
"clark",0.634920684744717,285
"cb",0.39839947806748,76
"hb",0.329692984535285,100
"pond",0.239105265944239,87
"pickle",0.470081376954396,122
"noon",0.664060754942797,183
"disc",0.640314852586353,101
"liz",0.689726847076731,77
"terr",0.923237970537517,65
"rot",0.837394572594026,60
"fern",0.653274990266959,85
"fraz",0.641864095540155,46
"pegg",0.753992145815785,43
"zion",0.81372774673803,79
"expo",0.80982817215967,70
"watts",0.864352071191636,48
"arbor",0.938928879447566,26
"metro",0.895267436123011,38
