"site","blca","glvo","mipi","mumu","ocnu","pego","pele","rano","rehu","scca","sihi","tast"
"beach",0.588,0,0,0,0,0,7.06,0,0,0,0,0
"cb",0,0,0,0,0,3.588,0,0,0,0,0.718,0
"clark",0,0,0,0,0,0,13.704,0,0,0,0,0
"disc",0,0,0,0,0,0,13.816,0,0,0,0,0
"expo",1.159,0,4.638,0,0,0,26.087,0,0,0,0,1.159
"fern",0,0,0,0,0,0,20.331,0,0,0,0,2.675
"field",1.422,0,0,4.977,0,0,21.331,4.266,0,0.711,4.977,5.688
"fraz",2.198,0,4.946,0,0,0,21.432,0,0,0.55,0,2.748
"gate",0,0,0,0,0.638,0,3.189,0,0,0,0,0
"hb",0,0,0,0,0,0,0,0,7.59,0,2.919,0
"liz",0,0,0,0,0,0,0,0,0,0,3.144,0.786
"main",0,0,1.247,0,0,0,17.454,0,0,0,2.493,0
"mars",0,0,0,0,0,0,7.737,0,0,0,0,1.105
"nance",0,0,0,0,0,0,21.595,0,0,0,0,0.745
"noon",0,1.673,0,0,0,0,38.483,1.673,0,0,15.895,1.673
"pass",0,0,0,0,0,0,1.156,0,0,0,0,0
"pegg",0,0,0,0,0.924,0,3.696,0.924,0,0,0,0
"pickle",0,0,0,0,0,3.925,5.888,0,0.654,0,3.271,0
"pond",0.714,0,1.429,0,0,3.572,2.857,0,0,0,20.716,0
"rags",0,0.544,0,0,0,0,11.979,0,0,0.544,0,1.089
"rot",0,0,0,0,0,0,7.982,0,0,0,0,0
"terr",0,0,0,0,0,0,2.321,0.774,0,0,0,0.774
"zion",0,0,0,0,0,0,5.142,0,0,0,0,0
