siteno,site,lat,lon,elev,area,urb,start,end
6,beach,34.179472,84.734484,NA,NA,rural,2023-05-30,2023-06-02
11,cb,34.124453,84.943539,NA,NA,rural,2023-06-13,2023-06-16
9,clark,34.093357,84.674837,NA,NA,rural,2023-06-07,2023-06-10
17,disc,33.792242,84.517357,NA,NA,suburban,2023-07-25,2023-07-28
15,expo,33.654089,84.363315,NA,NA,urban,2023-07-11,2023-07-14
21,fern,33.778413,84.321858,NA,NA,urban,2023-08-09,2023-08-12
1,field,34.061787,-84.603548,340,NA,suburban,2023-05-09,2023-05-12
14,fraz,33.769505,84.329049,NA,NA,urban,2023-06-27,2023-06-30
7,gate,34.176621,84.72409,NA,NA,rural,2023-05-30,2023-06-02
13,hb,34.141394,84.94817,NA,NA,rural,2023-06-20,2023-06-23
18,liz,33.834953,84.464268,NA,NA,suburban,2023-07-25,2023-07-28
4,main,34.049802,84.666264,NA,NA,suburban,2023-05-23,2023-05-26
3,mars,34.042796,84.685212,NA,NA,suburban,2023-05-17,2023-05-20
2,nance,34.043073,84.66511,NA,NA,suburban,2023-05-16,2023-05-19
16,noon,34.043964,84.541608,NA,NA,suburban,2023-07-18,2023-07-21
8,pass,34.120608,84.714302,NA,NA,rural,2023-06-06,2023-06-09
20,pegg,33.688576,84.39737,NA,NA,urban,2023-08-01,2023-08-04
12,pickle,34.12589,84.884812,NA,NA,rural,2023-06-20,2023-06-23
10,pond,34.128342,84.957791,NA,NA,rural,2023-06-13,2023-06-16
5,rags,34.052989,84.692461,NA,NA,suburban,2023-05-23,2023-05-26
23,rot,33.933637,84.523498,NA,NA,urban,2023-08-16,2023-08-19
22,terr,33.910816,84.475689,NA,NA,urban,2023-08-15,2023-08-18
19,zion,33.670164,84.384072,NA,NA,urban,2023-08-01,2023-08-04
