"sitena","tranname","start_lat","start_lon","end_lat","end_lon","utran","length","nstat"
"terr","A",33.911658,-84.476817,33.911781,-84.476969,"terr_a",19.5892228626796,20
"field station","D",34.06253,-84.604297,34.062764,-84.604,"field station_d",37.7554331805617,10
"liz","B",33.835136,-84.464534,33.835347,-84.464184,"liz_b",39.9663683813895,20
"field station","B",34.0616,-84.6009,34.0612,-84.6013,"field station_b",57.7258119160309,15
"noon","D",34.050555,-84.541997,34.051114,-84.54213,"noon_d",63.2103993720268,20
"pegg","C",33.688179,-84.397573,33.687817,-84.398132,"pegg_c",65.5640103981722,20
"pegg","D",33.688745,-84.398337,33.688159,-84.39795,"pegg_d",74.2443445066092,20
"pond","B",34.127476,-84.957322,34.12787,-84.956633,"pond_b",77.1339958083888,20
"disc","C",33.793808,-84.517835,33.793915,-84.516988,"disc_c",79.3312215046757,20
"pegg","B",33.688761,-84.396608,33.688203,-84.39722,"pegg_b",83.9676422875728,20
"field station","E",34.062475,-84.604527,34.062691,-84.605438,"field station_e",87.447103943534,20
"cb","A",34.124899,-84.941716,34.124137,-84.941401,"cb_a",89.3801444036744,20
"expo","B",33.654372,-84.364088,33.655033,-84.363465,"expo_b",93.3518976113382,20
"liz","A",33.834281,-84.463521,33.835136,-84.463862,"liz_a",99.9508700145755,20
"noon","A",34.045586,-84.54234,34.045715,-84.543429,"noon_a",101.566197639346,20
"field station","C",34.060978,-84.601577,34.060497,-84.602617,"field station_c",109.840450140593,15
"noon","B",34.042498,-84.541698,34.041511,-84.541462,"noon_b",111.628917854922,20
"main","A",34.05238,-84.66592,34.05232,-84.66714,"main_a",112.836698425205,20
"disc","D",33.792936,-84.516453,33.791932,-84.516869,"disc_d",117.837872013761,20
"cb","C",34.124591,-84.944821,34.125646,-84.945041,"cb_c",118.772251028793,20
"noon","C",34.039022,-84.542539,34.038779,-84.543803,"noon_c",119.792958430068,20
"gate","D",34.178744,-84.725893,34.179718,-84.725274,"gate_d",122.186268277554,20
"disc","B",33.792932,-84.517771,33.791927,-84.51832,"disc_b",122.520282840715,20
"zion","C",33.672127,-84.38318,33.671006,-84.38318,"zion_c",124.337360452008,20
"clark","B",34.09396,-84.67595,34.09286,-84.67624,"clark_b",124.916926750659,20
"pickle","D",34.125296,-84.882881,34.124255,-84.882358,"pickle_d",125.146447483272,20
"rot","D",33.934452,-84.522929,33.933321,-84.522723,"rot_d",126.889405963417,20
"gate","B",34.176054,-84.723519,34.177127,-84.723037,"gate_b",127.047889638517,20
"main","D",34.04806,-84.66484,34.04912,-84.66537,"main_d",127.355711386935,20
"pond","D",34.127798,-84.955575,34.128895,-84.955166,"pond_d",127.399097949443,20
"pegg","A",33.688714,-84.398079,33.688998,-84.396747,"pegg_a",127.457280788183,20
"rot","B",33.934104,-84.52414,33.933121,-84.523401,"rot_b",128.674432477975,20
"terr","D",33.910374,-84.475612,33.911395,-84.474949,"terr_d",128.783219602452,20
"clark","D",34.09138,-84.67405,34.090223,-84.673933,"clark_d",128.792509712744,20
"rot","C",33.934353,-84.523485,33.933254,-84.523002,"rot_c",129.824456767758,20
"pass","C",34.118901,-84.71443,34.120043,-84.714084,"pass_c",130.635648970245,20
"zion","A",33.669897,-84.384992,33.670264,-84.386331,"zion_a",130.681032263349,20
"pickle","C",34.125259,-84.88483,34.125602,-84.883474,"pickle_c",130.747578557399,20
"pickle","B",34.126507,-84.88685,34.125839,-84.885655,"pickle_b",132.825121838115,20
"cb","D",34.123567,-84.946344,34.124667,-84.945772,"cb_d",132.938103956659,20
"expo","C",33.653229,-84.363406,33.653641,-84.362058,"expo_c",133.126994759091,20
"rot","A",33.933745,-84.524963,33.932899,-84.523939,"rot_a",133.301684038156,20
"cb","B",34.125027,-84.942222,34.123824,-84.942104,"cb_b",133.88558889562,20
"rags","A",34.05379,-84.69357,34.05278,-84.69437,"rags_a",134.189577337421,20
"terr","C",33.909393,-84.476283,33.910269,-84.475278,"terr_c",134.46212082219,20
"gate","C",34.177808,-84.724159,34.178248,-84.725547,"gate_c",136.954048650059,20
"pickle","A",34.126342,-84.888845,34.126,-84.887385,"pickle_a",139.922870721801,20
"fraz","C",33.76982,-84.32843,33.7686,-84.32883,"fraz_c",140.301573165237,20
"hb","C",34.14096,-84.94889,34.14096,-84.94735,"hb_c",142.037135782247,20
"liz","C",33.834382,-84.465155,33.83528,-84.464059,"liz_c",142.173263185984,20
"pond","A",34.126317,-84.960442,34.127599,-84.96043,"pond_a",142.209749735346,20
"mars","B",34.04269,-84.68404,34.04225,-84.68259,"mars_b",142.509322889877,20
"liz","D",33.83447,-84.465272,33.835288,-84.464054,"liz_d",144.717142330449,20
"pass","B",34.117266,-84.715895,34.118538,-84.715404,"pass_b",148.189071538575,20
"pass","A",34.117853,-84.717717,34.119184,-84.718019,"pass_a",150.246426666786,20
"beach","A",34.178909,-84.73606,34.180232,-84.736412,"beach_a",150.299616124979,20
"fraz","D",33.768,-84.33006,33.76936,-84.33007,"fraz_d",150.851616386032,20
"fern","B",33.778103,-84.323816,33.777868,-84.3222025,"fern_b",151.705600859495,20
"terr","B",33.911188,-84.476232,33.909887,-84.476751,"terr_b",152.080821025445,20
"beach","B",34.18014,-84.735588,34.178971,-84.734721,"beach_b",152.326752201209,20
"mars","D",34.04167,-84.68702,34.0411,-84.68551,"mars_d",153.09868268104,20
"hb","A",34.142418,-84.948826,34.141947,-84.947255,"hb_a",154.025805165099,20
"fraz","B",33.76925,-84.32877,33.7679,-84.32921,"fraz_b",155.187812508308,20
"mars","C",34.04146,-84.68291,34.04118,-84.68456,"mars_c",155.494432106733,20
"main","C",34.04903,-84.66649,34.04801,-84.66533,"main_c",155.796705923861,20
"beach","D",34.177736,-84.734276,34.178068,-84.732631,"beach_d",156.062865883129,20
"fern","D",33.777275,-84.324423,33.777409,-84.322728,"fern_d",157.701566300064,20
"hb","D",34.140083,-84.948937,34.140012,-84.947227,"hb_d",157.914768807424,20
"gate","A",34.175167,-84.72187,34.175694,-84.723464,"gate_a",158.157972340486,20
