site,areaha,type,elev.mean,tempc_day,lux_day,db.mn,shape,age,island,pct_imp_perim,tree,imp,areaha100,popden,forest,dev,wetland,open,income,povrate
beach,25.84,rural,287.02,23.43863137,2646.81278,46.025,1.219411716,74,0,34.3,63.49834983,7.447019868,27.23,0.773137065,55,30.1,0,12.6,62206,2.8
cb,33.82,rural,209.83,22.89482288,2661.175441,46.155,0.998448787,9,10,42.2,27.87241379,3.520689655,26.37,0.097893703,30,19,0,51,97993,3.8
clark,158.57,rural,265.22,26.09449009,5656.826506,54.615,1.846428981,20,0,0,30.53404669,23.90582524,92.86,2.320026877,18.6,55.7,0,2.2,69409.91726,20.1
disc,29.52,suburban,236.47,28.69001771,1296.060135,56.315,1.287360026,25,30,21.1,33.17910448,21.81791045,30.23,1.614173221,13.7,45.7,17.3,0.6,117650,18.5
expo,18.74,urban,255.54,25.40805425,476.3927182,63.435,1.197464732,64,40,0,35.93774319,40.51750973,23.49,3.254626842,21,77,1.9,0,53125,44.7
fern,31.47,urban,297.11,24.24588451,644.2306954,51.135,1.163124745,84,160,0,50.30448718,15.24358974,28.32,6.682629518,8.7,91.3,0,0,250001,2.2
field,12.02,suburban,341.9,26.65838459,1167.997941,65.65714286,1.112523057,22,390,3.2,25.71770335,36.20574163,18.56,8.968305317,2.9,97.1,0,0,100838.8997,11.8
fraz,7.96,urban,287.79,24.2346091,467.2189469,56.305,1.014242601,69,90,0,60.09493671,11.67721519,14.44,15.69042057,15.2,84.8,0,0,195524.0114,5.1
gate,39.1,rural,281.52,25.11728623,5528.329442,44.68,1.045086869,74,0,45,63.8136646,0.807453416,28.7,0.030022126,65.8,11.8,0,0.6,62206,2.8
hb,56.22,rural,213.71,22.24539221,2437.831188,44.275,1.086250828,9,0,26.4,42.74234694,4.010204082,35.5,1.016243034,50,27.3,0,22.7,97993,3.8
liz,24.21,suburban,243.39,28.11552632,1537.062884,57.59,1.172305417,25,430,30.8,32.07266436,26.33564014,25.71,2.430590608,26,55,0,1.4,111115.7573,10.6
main,36.28,suburban,260.29,22.72898141,7785.65709,59.91,1.266879116,31,15,25.6,34.86297376,17.98250729,30.79,0.926241603,22.7,63,9.3,0.9,91582.92937,4.1
mars,38.58,suburban,269.54,21.71543112,834.3352626,43.065,1.106639621,31,40,8,45,23.28307692,29.04,3.609856799,37.5,60,2.2,0.3,79261,3.4
nance,52.44,suburban,265.32,21.97157895,892.0229152,59.045,1.822472958,23,40,0,32.01125704,31.35272045,48.37,11.45052153,5.1,94.6,0.2,0,81637.81541,3.4
noon,75.95,suburban,276.62,26.05879228,1471.726442,59.195,1.801436197,46,30,2.4,44.40082645,22.04432133,64.8,9.874085309,10.1,84.9,4.6,0,116748.5494,7.7
pass,47.86,rural,270.72,26.28334091,3015.224534,42.295,1.580489509,69,10,15.3,15.61731207,1.872146119,39.59,0.203494618,16,7.8,0,0.9,51250,19.7
pegg,5.85,urban,255.17,25.0364264,639.1195681,60,1.112959855,46,75,30.6,47.37254902,29.51633987,13.82,4.692207076,34,66,0,0,32825.75371,36.8
pickle,52.02,rural,211.21,22.90635202,2470.095783,48.885,1.444057713,18,15,17.3,22.56707317,14.31771894,44.81,0.139764695,14.9,40.5,0,39.3,89770.40945,5.5
pond,46.2,rural,209.89,25.13022721,7678.472648,46.995,1.027377003,5,0,14,38.99696049,0.655487805,30.16,0.155192243,24.4,4,30.2,38.4,97993,3.8
rags,19.49,suburban,271.3,20.92873,1091.09819,45.025,1.321148157,46,10,0,39.24074074,13.25830258,24.31,2.689671951,29.2,59.4,0,1.5,85203.13258,4.1
rot,12.98,urban,310.79,24.82754782,1381.335469,57.255,1.296622054,64,20,1.1,32.34361233,32.34513274,20.58,2.977449682,4.9,95.1,0,0,67917.50702,14.1
terr,13.84,urban,280.75,25.70597201,1040.965661,61.98,1.289561212,46,35,3.6,27.90265487,53.15929204,20.47,16.8231702,0,100,0,0,58480.08673,12.7
zion,18.22,urban,260.34,26.81354634,989.8946124,57.915,1.443651204,46,370,0,41.17475728,29,27.64,17.6476939,9,91,0,0,39595.57234,16.3
