site,mipi,mumu,pego,pele,rano,rehu,sihi,tast,blca,glvo,ocnu,scca,rich,simp
beach,0,0,0,3.16024829,0,0,0,0,0.340050463,0,0,0,2,0.175422116
cb,0,0,2.517547305,0,0,0,0.248383643,0,0,0,0,0,2,0.163473726
clark,0,0,0,6.178957437,0,0,0,0,0,0,0,0,1,0
disc,0,0,0,6.074134815,0,0,0,0,0,0,0,0,1,0
expo,4.036102941,0,0,11.69566325,0,0,0,0.537476922,0.670823537,0,0,0,4,0.463986578
fern,0,0,0,9.188553963,0,0,0,1.249618866,0,0,0,0,2,0.210768533
field,0,2.143340488,0,9.064101325,2.429366178,0,1.656667495,2.505708317,0.794779886,0,0,0.100786944,7,0.707237597
fraz,4.307745326,0,0,9.660806603,0,0,0,1.280321207,1.276230526,0,0,0.090933064,5,0.582878796
gate,0,0,0,1.415039607,0,0,0,0,0,0,0.141876774,0,2,0.165645377
hb,0,0,0,0,0,2.997657216,1.042924695,0,0,0,0,0,2,0.382980874
liz,0,0,0,0,0,0,1.071105327,0.352054414,0,0,0,0,2,0.372361413
main,1.083793494,0,0,7.764922517,0,0,0.882388626,0,0,0,0,0,3,0.342651293
mars,0,0,0,3.485786705,0,0,0,0.514772689,0,0,0,0,2,0.224235752
nance,0,0,0,10.0536832,0,0,0,0.357784953,0,0,0,0,2,0.066367172
noon,0,0,0,16.49821748,0.958111371,0,5.353349224,0.743303762,0,0.046374693,0,0,5,0.457162735
pass,0,0,0,0.518520247,0,0,0,0,0,0,0,0,1,0
pegg,0,0,0,1.561304626,0.524229906,0,0,0,0,0,0.18588017,0,3,0.46755812
pickle,0,0,2.766034935,2.60530498,0,0.254579244,1.149190166,0,0,0,0,0,4,0.655266105
pond,1.239088279,0,2.50661747,1.251067317,0,0,7.175695671,0,0.407069992,0,0,0,5,0.614268799
rags,0,0,0,5.404422783,0,0,0,0.507853962,0,0.019568978,0,0.090321427,4,0.187287319
rot,0,0,0,3.524922672,0,0,0,0,0,0,0,0,1,0
terr,0,0,0,1.005725933,0.445974633,0,0,0.347210166,0,0,0,0,3,0.588720613
zion,0,0,0,2.308674974,0,0,0,0,0,0,0,0,1,0
