"","y","param","estse","test","pval"
"1","esg2","Intercept","1.427 ± 0.474","3.012","0.006"
"2","esg2","Intercept","1.236 ± 0.755","1.637","0.116"
"3","esg2","areaha","0.005 ± 0.016","0.330","0.745"
"4","esg2","Intercept","3.394 ± 2.492","1.362","0.188"
"5","esg2","shape","-1.525 ± 1.897","-0.804","0.430"
"6","esg2","Intercept","2.413 ± 0.952","2.533","0.019"
"7","esg2","age","-0.024 ± 0.020","-1.189","0.248"
"8","esg2","Intercept","1.572 ± 0.566","2.780","0.011"
"9","esg2","island","-0.002 ± 0.004","-0.491","0.628"
"10","esg2","Intercept","1.664 ± 0.663","2.510","0.020"
"11","esg2","pct_imp_perim","-0.017 ± 0.033","-0.521","0.608"
"12","esg2","Intercept","0.554 ± 1.590","0.349","0.731"
"13","esg2","tree","0.023 ± 0.039","0.576","0.571"
"14","esg2","Intercept","2.151 ± 0.843","2.552","0.019"
"15","esg2","imp","-0.036 ± 0.035","-1.037","0.311"
"16","esg2","Intercept","1.433 ± 0.810","1.769","0.091"
"17","esg2","forest",">-0.001 ± 0.029","-0.009","0.993"
"18","esg2","Intercept","2.117 ± 1.046","2.024","0.056"
"19","esg2","dev","-0.012 ± 0.016","-0.742","0.466"
"20","esg2","Intercept","1.068 ± 0.516","2.072","0.051"
"21","esg2","open","0.048 ± 0.031","1.537","0.139"
"22","esg2","Intercept","1.451 ± 0.651","2.230","0.037"
"23","esg2","popden","-0.005 ± 0.087","-0.055","0.956"
"24","esg2","Intercept","0.493 ± 1.035","0.476","0.639"
"25","esg2","income","<0.001 ± <0.001","1.015","0.322"
"26","esg2","Intercept","1.519 ± 0.697","2.180","0.041"
"27","esg2","povrate","-0.008 ± 0.045","-0.183","0.857"
