"","y","param","estse","test","pval"
"1","pele","Intercept","4.888 ± 0.931","5.247","<0.001"
"2","pele","Intercept","4.166 ± 1.473","2.827","0.010"
"3","pele","areaha","0.019 ± 0.030","0.638","0.530"
"4","pele","Intercept","-3.828 ± 4.579","-0.836","0.413"
"5","pele","shape","6.760 ± 3.485","1.939","0.066"
"6","pele","Intercept","3.232 ± 1.889","1.711","0.102"
"7","pele","age","0.040 ± 0.040","1.008","0.325"
"8","pele","Intercept","4.887 ± 1.118","4.371","<0.001"
"9","pele","island","<0.001 ± 0.007","0.002","0.998"
"10","pele","Intercept","7.247 ± 1.077","6.730","<0.001"
"11","pele","pct_imp_perim","-0.169 ± 0.053","-3.189","0.004"
"12","pele","Intercept","3.084 ± 3.123","0.988","0.335"
"13","pele","tree","0.047 ± 0.077","0.606","0.551"
"14","pele","Intercept","2.995 ± 1.623","1.845","0.079"
"15","pele","imp","0.095 ± 0.067","1.409","0.173"
"16","pele","Intercept","7.323 ± 1.447","5.059","<0.001"
"17","pele","forest","-0.109 ± 0.052","-2.100","0.048"
"18","pele","Intercept","0.027 ± 1.707","0.016","0.988"
"19","pele","dev","0.082 ± 0.026","3.203","0.004"
"20","pele","Intercept","5.811 ± 0.972","5.978","<0.001"
"21","pele","open","-0.123 ± 0.059","-2.099","0.048"
"22","pele","Intercept","3.555 ± 1.203","2.956","0.008"
"23","pele","popden","0.269 ± 0.162","1.662","0.111"
"24","pele","Intercept","1.569 ± 1.919","0.818","0.423"
"25","pele","income","<0.001 ± <0.001","1.946","0.065"
"26","pele","Intercept","4.464 ± 1.364","3.272","0.004"
"27","pele","povrate","0.038 ± 0.087","0.432","0.670"
