"","y","param","estse","test","pval"
"1","rich","Intercept","1.023 ± 0.125","8.187","<0.001"
"2","rich","Intercept","1.194 ± 0.203","5.869","<0.001"
"3","rich","areaha","-0.005 ± 0.005","-1.006","0.314"
"4","rich","Intercept","1.689 ± 0.683","2.472","0.013"
"5","rich","shape","-0.522 ± 0.534","-0.979","0.328"
"6","rich","Intercept","1.158 ± 0.247","4.689","<0.001"
"7","rich","age","-0.003 ± 0.005","-0.618","0.536"
"8","rich","Intercept","0.970 ± 0.149","6.512","<0.001"
"9","rich","island","0.001 ± 0.001","0.698","0.485"
"10","rich","Intercept","1.149 ± 0.164","6.993","<0.001"
"11","rich","pct_imp_perim","-0.010 ± 0.009","-1.090","0.276"
"12","rich","Intercept","0.953 ± 0.413","2.306","0.021"
"13","rich","tree","0.002 ± 0.010","0.178","0.859"
"14","rich","Intercept","0.935 ± 0.227","4.116","<0.001"
"15","rich","imp","0.004 ± 0.009","0.477","0.633"
"16","rich","Intercept","1.169 ± 0.205","5.691","<0.001"
"17","rich","forest","-0.007 ± 0.008","-0.855","0.393"
"18","rich","Intercept","0.783 ± 0.292","2.681","0.007"
"19","rich","dev","0.004 ± 0.004","0.937","0.349"
"20","rich","Intercept","0.992 ± 0.142","6.981","<0.001"
"21","rich","open","0.004 ± 0.008","0.500","0.617"
"22","rich","Intercept","0.916 ± 0.173","5.300","<0.001"
"23","rich","popden","0.020 ± 0.021","0.958","0.338"
"24","rich","Intercept","0.799 ± 0.264","3.023","0.003"
"25","rich","income","<0.001 ± <0.001","0.996","0.319"
"26","rich","Intercept","1.053 ± 0.179","5.866","<0.001"
"27","rich","povrate","-0.003 ± 0.012","-0.224","0.823"
