"","y","param","estse","test","pval"
"1","sihi","Intercept","-0.629 ± 0.438","-1.436","0.151"
"2","sihi","Intercept","-0.906 ± 0.689","-1.316","0.188"
"3","sihi","areaha","0.007 ± 0.014","0.531","0.595"
"4","sihi","Intercept","1.061 ± 2.441","0.435","0.664"
"5","sihi","shape","-1.325 ± 1.905","-0.696","0.487"
"6","sihi","Intercept","2.818 ± 1.389","2.029","0.042"
"7","sihi","age","-0.103 ± 0.044","-2.327","0.020"
"8","sihi","Intercept","-0.868 ± 0.529","-1.642","0.101"
"9","sihi","island","0.003 ± 0.003","0.863","0.388"
"10","sihi","Intercept","-1.305 ± 0.679","-1.922","0.055"
"11","sihi","pct_imp_perim","0.045 ± 0.031","1.437","0.151"
"12","sihi","Intercept","1.547 ± 1.633","0.947","0.343"
"13","sihi","tree","-0.059 ± 0.044","-1.339","0.181"
"14","sihi","Intercept","0.117 ± 0.780","0.151","0.880"
"15","sihi","imp","-0.040 ± 0.036","-1.103","0.270"
"16","sihi","Intercept","-0.659 ± 0.732","-0.900","0.368"
"17","sihi","forest","0.001 ± 0.026","0.052","0.959"
"18","sihi","Intercept","0.359 ± 0.936","0.383","0.702"
"19","sihi","dev","-0.017 ± 0.015","-1.162","0.245"
"20","sihi","Intercept","-1.417 ± 0.589","-2.408","0.016"
"21","sihi","open","0.129 ± 0.074","1.732","0.083"
"22","sihi","Intercept","-0.097 ± 0.585","-0.166","0.868"
"23","sihi","popden","-0.124 ± 0.104","-1.196","0.232"
"24","sihi","Intercept","-1.169 ± 0.965","-1.211","0.226"
"25","sihi","income","<0.001 ± <0.001","0.636","0.525"
"26","sihi","Intercept","0.352 ± 0.739","0.476","0.634"
"27","sihi","povrate","-0.108 ± 0.077","-1.397","0.162"
