"","y","param","estse","test","pval"
"1","tast","Intercept","-0.262 ± 0.421","-0.624","0.533"
"2","tast","Intercept","0.404 ± 0.772","0.523","0.601"
"3","tast","areaha","-0.019 ± 0.020","-0.968","0.333"
"4","tast","Intercept","-0.646 ± 2.191","-0.295","0.768"
"5","tast","shape","0.297 ± 1.665","0.179","0.858"
"6","tast","Intercept","-0.876 ± 0.885","-0.990","0.322"
"7","tast","age","0.015 ± 0.018","0.800","0.424"
"8","tast","Intercept","-0.694 ± 0.515","-1.348","0.178"
"9","tast","island","0.006 ± 0.004","1.392","0.164"
"10","tast","Intercept","0.946 ± 0.650","1.455","0.146"
"11","tast","pct_imp_perim","-0.106 ± 0.047","-2.244","0.025"
"12","tast","Intercept","-0.577 ± 1.395","-0.414","0.679"
"13","tast","tree","0.008 ± 0.034","0.237","0.812"
"14","tast","Intercept","-2.040 ± 1.013","-2.014","0.044"
"15","tast","imp","0.086 ± 0.043","2.026","0.043"
"16","tast","Intercept","0.857 ± 0.791","1.085","0.278"
"17","tast","forest","-0.054 ± 0.034","-1.578","0.115"
"18","tast","Intercept","-4.083 ± 1.753","-2.329","0.020"
"19","tast","dev","0.060 ± 0.025","2.434","0.015"
"20","tast","Intercept","0.607 ± 0.607","0.999","0.318"
"21","tast","open","-0.821 ± 0.792","-1.036","0.300"
"22","tast","Intercept","-1.358 ± 0.670","-2.028","0.043"
"23","tast","popden","0.233 ± 0.114","2.045","0.041"
"24","tast","Intercept","-2.457 ± 1.423","-1.726","0.084"
"25","tast","income","<0.001 ± <0.001","1.561","0.119"
"26","tast","Intercept","-0.154 ± 0.605","-0.254","0.799"
"27","tast","povrate","-0.010 ± 0.040","-0.247","0.805"
